French,English
partie,part
histoire,history
genre,kind
mois,month
aucun,no
eux,them
parlé,speak
arrivé,come
heures,hours
vont,will
aucune,any
place,square
parle,speak
attention,Warning
affaire,case
corps,body
yeux,eyes
trouve,find
premier,first
tiens,here
tellement,so much
venu,came
suite,after
pardon,sorry
devant,in front of
minutes,minutes
demandé,request
chambre,bedroom
mis,placed
droit,law
aujourd'hui,today
eau,water
arrêter,Stop
compte,account
plutôt,rather
filles,girls
bureau,office
